date-time,temp,humid
2020-06-26-4,20.1,96.0
2020-06-26-5,20.0,97.0
2020-06-26-6,20.2,96.0
2020-06-26-7,20.3,96.0
2020-06-26-8,20.7,95.0
2020-06-26-9,21.6,92.0
2020-06-26-10,23.3,78.0
2020-06-26-11,23.8,75.0
2020-06-26-12,25.6,64.0
2020-06-26-13,26.7,64.0
2020-06-26-14,27.2,61.0
2020-06-26-15,28.2,60.0
2020-06-26-16,28.4,62.0
2020-06-26-17,28.5,54.0
2020-06-26-18,27.5,61.0
2020-06-26-19,26.7,65.0
2020-06-26-20,25.5,75.0
2020-06-26-21,24.4,81.0
2020-06-26-22,23.8,84.0
2020-06-26-23,22.8,93.0
2020-06-27-0,22.4,94.0
2020-06-27-1,22.2,93.0
2020-06-27-2,21.6,95.0
2020-06-27-3,21.1,96.0
2020-06-27-4,20.6,97.0
2020-06-27-5,20.9,97.0
2020-06-27-6,20.7,97.0
2020-06-27-7,21.5,96.0
2020-06-27-8,21.9,96.0
2020-06-27-9,23.1,93.0
2020-06-27-10,24.1,87.0
2020-06-27-11,24.8,82.0
2020-06-27-12,26.1,78.0
2020-06-27-13,28.0,66.0
2020-06-27-14,29.1,62.0
2020-06-27-15,29.7,56.0
2020-06-27-16,30.8,53.0
2020-06-27-17,29.7,54.0
2020-06-27-18,29.6,57.0
2020-06-27-19,28.6,60.0
2020-06-27-20,27.3,63.0
2020-06-27-21,26.5,71.0
2020-06-27-22,25.5,77.0
2020-06-27-23,24.9,87.0
2020-06-28-0,24.3,94.0
2020-06-28-1,23.8,97.0
2020-06-28-2,23.7,94.0
2020-06-28-3,22.5,80.0
2020-06-28-4,22.7,72.0
2020-06-28-5,22.1,85.0
2020-06-28-6,21.6,88.0
2020-06-28-7,21.9,81.0
2020-06-28-8,23.6,74.0
2020-06-28-9,25.2,67.0
2020-06-28-10,26.2,61.0
2020-06-28-11,27.3,61.0
2020-06-28-12,28.1,60.0
2020-06-28-13,28.2,65.0
2020-06-28-14,29.0,65.0
2020-06-28-15,29.5,61.0
2020-06-28-16,30.1,55.0
2020-06-28-17,29.7,58.0
2020-06-28-18,28.6,64.0
2020-06-28-19,26.6,74.0
2020-06-28-20,24.4,83.0
2020-06-28-21,22.9,91.0
2020-06-28-22,21.7,95.0
2020-06-28-23,21.3,96.0
2020-06-29-0,21.4,95.0
2020-06-29-1,21.0,96.0
2020-06-29-2,20.8,97.0
2020-06-29-3,21.0,96.0
2020-06-29-4,20.8,97.0
