date-time,day,active_power,active_energy
2020-06-20-18,0,3204.0,333.014
2020-06-21-21,0,3110.8,409.961
2020-06-21-22,0,3238.7,412.985
2020-06-21-23,0,3018.6,415.988
2020-06-22-0,1,2975.4,418.891
2020-06-22-1,1,2951.1,421.745
2020-06-22-2,1,2864.1,424.53
2020-06-22-3,1,2797.5,427.225
2020-06-22-4,1,2824.3,429.898
2020-06-22-5,1,2761.2,432.522
2020-06-22-6,1,2721.1,435.083
2020-06-22-7,1,2856.1,437.645
2020-06-22-8,1,3298.2,440.306
2020-06-22-9,1,3629.1,443.342
2020-06-22-10,1,3706.0,446.785
2020-06-22-11,1,3674.0,450.347
2020-06-22-12,1,3741.8,453.896
2020-06-22-13,1,4011.7,457.464
2020-06-22-14,1,4109.3,461.173
2020-06-22-15,1,4033.2,465.039
2020-06-22-16,1,4066.5,468.95
2020-06-22-17,1,4108.1,472.888
2020-06-22-18,1,3760.5,476.771
2020-06-22-19,1,3502.2,480.329
2020-06-22-20,1,3396.5,483.663
2020-06-22-22,1,3336.7,490.147
2020-06-22-23,1,3159.6,493.29
2020-06-23-0,1,3137.4,496.321
2020-06-23-1,1,2958.4,499.267
2020-06-23-2,1,2882.9,502.096
2020-06-23-3,1,2933.0,504.859
2020-06-23-4,1,2776.7,507.573
2020-06-23-5,1,2732.4,510.228
2020-06-23-6,1,2765.7,512.837
2020-06-23-7,1,2908.1,515.468
2020-06-23-8,1,3460.1,518.232
2020-06-23-9,1,3792.2,521.298
2020-06-23-10,1,3746.5,524.847
2020-06-23-11,1,3891.4,528.435
2020-06-23-12,1,3798.6,532.039
2020-06-23-13,1,3999.5,535.616
2020-06-23-14,1,4035.9,539.331
2020-06-23-15,1,4036.8,543.078
2020-06-23-16,1,4018.4,547.004
2020-06-23-17,1,4060.4,550.917
2020-06-23-18,1,3695.3,554.744
2020-06-23-19,1,3619.2,558.277
2020-06-23-20,1,3420.3,561.681
2020-06-23-21,1,3394.6,564.985
2020-06-23-23,1,3148.7,571.421
2020-06-24-0,1,3098.7,574.475
2020-06-24-1,1,3018.1,577.441
2020-06-24-2,1,3025.4,580.263
2020-06-24-3,1,2884.3,583.036
2020-06-24-4,1,2784.4,585.763
2020-06-24-5,1,2715.3,588.438
2020-06-24-6,1,2782.2,591.05
2020-06-24-7,1,3167.0,593.715
2020-06-24-8,1,3542.8,596.513
2020-06-24-9,1,3902.0,599.671
2020-06-24-10,1,3959.1,603.318
2020-06-24-11,1,3948.5,607.047
2020-06-24-12,1,3695.6,610.835
2020-06-24-13,1,3696.8,614.355
2020-06-24-14,1,3851.5,617.942
2020-06-24-15,1,3739.5,621.629
2020-06-24-16,1,3732.0,625.242
2020-06-24-17,1,3700.1,628.841
2020-06-24-18,1,3491.7,632.4
2020-06-24-19,1,3477.5,635.747
2020-06-24-20,1,3421.1,639.041
